id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge,endpoint_schema
1,"Items","OITM",0,"cus","OITM",1,True,,,,,,,,"A20137_THEBASIC"
2,"ItemPrices","ITM1",0,"cus","ITM1",2,True,,,,,,,,"A20137_THEBASIC"
3,"Vendors","OCRD",0,"cus","OCRD",3,True,,,,,,,,"A20137_THEBASIC"
4,"StockLevel","OIBT",0,"cus","OIBT",4,True,,,,,,,,"A20137_THEBASIC"
5,"SaleHistory","OINM",7,"cus","OINM",5,True,,,,,,,,"A20137_THEBASIC"
6,"ItemGroups","OITB",0,"cus","OITB",6,True,,,,,,,,"A20137_THEBASIC"
7,"PurchaseOrderHeaders","OPOR",0,"cus","OPOR",7,True,,,,,,,,"A20137_THEBASIC"
8,"SalesOrderHeaders","ORDR",0,"cus","ORDR",8,True,,,,,,,,"A20137_THEBASIC"
9,"ItemExtraInfo","OSLP",0,"cus","OSLP",9,True,,,,,,,,"A20137_THEBASIC"
10,"PurchaseOrderLines","POR1",0,"cus","POR1",10,True,,,,,,,,"A20137_THEBASIC"
11,"SalesOrderLines","RDR1",0,"cus","RDR1",11,True,,,,,,,,"A20137_THEBASIC"
12,"Locations","OADM",0,"cus","OADM",12,True,,,,,,,,"A20137_THEBASIC"
13,"LocationsWarehouses","OWHS",0,"cus","OWHS",13,True,,,,,,,,"A20137_THEBASIC"
14,"PriceList","OPLN",0,"cus","OPLN",14,True,,,,,,,,"A20137_THEBASIC"
15,"ItemsWarehouses","OITW",0,"cus","OITW",15,True,,,,,,,,"A20137_THEBASIC"
16,"VendorsItemCode","OSCN",0,"cus","OSCN",16,True,,,,,,,,"A20137_THEBASIC"
