id,step_name,endpoint,task_type,db_schema,db_table,endpoint_filter,priority,is_active,post_sql
1,"Items","AGRItem",0,"cus","item","?$select=No,VendorNo,VendorItemNo,Description,Description2,Type,ItemCategoryCode,PurchasingBlocked,SalesBlocked,Blocked,GrossWeight,UnitVolume,UnitCost,UnitPrice,OrderMultiple,MaximumInventory,BaseUnitofMeasure,MinimumOrderQuantity,PriceIncludesVAT,ProductionBOMNo,LastDirectCost,LeadTimeCalculation,ReplenishmentSystem,PurchUnitofMeasure,ReorderingPolicy,SafetyStockQuantity,ReorderPoint",2,True,
2,"ItemCategory","AGRItemCategory",0,"cus","item_category",,3,True,
3,"ItemLedgerEntry","AGRItemLedgerEntry",1,"cus","item_ledger_entry","?$select=EntryNo,ItemNo,PostingDate,EntryType,LocationCode,Quantity,RemainingQuantity,InvoicedQuantity,QtyperUnitofMeasure,UnitofMeasureCode,VariantCode,SourceNo,DocumentNo,ExpirationDate,LotNo",1,True,
4,"ItemVendor","AGRItemVendor",0,"cus","item_vendor",,4,True,
5,"Locations","AGRLocation",0,"cus","location","?$select=Code,Name,City,PostCode,County",5,True,
6,"PurchaseLine","AGRPurchaseLine",0,"cus","purchase_line","?$select=DocumentType,DocumentNo,LineNo,BuyfromVendorNo,Type,No,LocationCode,ExpectedReceiptDate,Description,Description2,UnitofMeasureCode,Quantity,OutstandingQuantity,QtytoInvoice,QuantityReceived,QuantityBase,OutstandingQtyBase,VariantCode,DropShipment",6,True,
7,"SKU","AGRStockKeepingUnit",0,"cus","stock_keeping_unit","?$select=ItemNo,LocationCode,UnitCost,ReplenishmentSystem,TransferfromCode,VariantCode,LeadTimeCalculation,MinimumOrderQuantity,OrderMultiple,ReorderPoint,MaximumInventory,VendorNo,SafetyStockQuantity",7,True,
8,"TransferLine","AGRTransferLine",0,"cus","transfer_line","?$select=DocumentNo,LineNo,ItemNo,Quantity,UnitofMeasureCode,QuantityReceived,Status,QuantityBase,OutstandingQtyBase,OutstandingQuantity,QtyReceivedBase,QtyperUnitofMeasure,UnitofMeasure,TransferfromCode,TransfertoCode,ShipmentDate,ReceiptDate,VariantCode",8,True,
9,"Vendors","AGRVendor",0,"cus","vendor","?$select=No,Name,PurchaserCode,LeadTimeCalculation,City,Blocked",9,True,
10,"BOMComponent","AGRBOMComponent",0,"cus","bom_component",,10,False,
11,"ItemUnitOfMeasure","AGRItemUOM",0,"cus","item_unit_of_measure",,11,True,
12,"ItemVariant","AGRItemVariant",0,"cus","item_variant",,12,True,
14,"PurchaseHeader","AGRPurchaseHeader",0,"cus","purchase_header","?$select=DocumentType,No,BuyfromVendorNo,OrderDate,PostingDate",14,True,
16,"PurchRcptHeader","AGRPurchRcptHeader",0,"cus","purch_rcpt_header","?$select=BuyfromVendorNo,DocumentDate,DueDate,ExpectedReceiptDate,InboundWhseHandlingTime,LeadTimeCalculation,LocationCode,No,OrderDate,OrderNo,PostingDate,PostingDescription,PromisedReceiptDate,PurchaserCode,RequestedReceiptDate,ShiptoName,oriAGROrderId",16,False,
17,"PurchRcptLine","AGRPurchRcptLine",0,"cus","purch_rcpt_line","?$select=BuyfromVendorNo, DocumentNo,EntryPoint,ExpectedReceiptDate,InboundWhseHandlingTime,LeadTimeCalculation,LineNo,LocationCode,No,OrderDate,OrderLineNo,OrderNo,PaytoVendorNo,PlannedReceiptDate,PostingDate,UnitofMeasureCode,Quantity,QuantityBase",17,False,
18,"SalesLines","AGRSalesLine",0,"cus","sales_line","?$select=DocumentType,DocumentNo,LineNo,Quantity,VariantCode,ItemReferenceNo,LocationCode,No,OutstandingQtyBase,PurchaseOrderNo,PurchOrderLineNo,ShipmentDate,DropShipment",18,True,
19,"SalesOrder","AGRSalesHeader",0,"cus","sales_header","?$select=DocumentType,No,Status,LocationCode,SelltoCustomerNo,PromisedDeliveryDate,RequestedDeliveryDate",19,True,
20,"UnitOfMeasure","AGRUnitOfMeasure",0,"cus","unit_of_measure",,20,True,
21,"ProductionBOMHeader","AGRProdBOMHeader",0,"cus","production_bom_header",,21,False,
22,"ProductionBOMLine","AGRProdBOMLine",0,"cus","production_bom_line","?$select=ProductionBOMNo,VersionCode,LineNo,Type,No,Description,UnitofMeasureCode,Quantity,Quantityper",22,False,
23,"Customers","AGRCustomer",0,"cus","customer","?$select=No,Name,Blocked",23,True,
24,"SalesShipmentHeader","AGRSalesShipmentHeader",0,"cus","sales_shipment_header","?$select=No,OrderNo",24,True,
25,"AGRApiOrderLines","AGRApiOrderLines",0,"cus","agr_api_order_lines",,25,False,
27,"AGRSetup","AGRSetup",0,"cus","agr_setup",,27,False,
28,"AGRLog","AGRLog",0,"cus","agr_log",,28,False,
5000,"ProductionOrderLine","ProdOrderLines",0,"cus","ProductionOrderLine","?$select=Prod_Order_No,Status,Line_No,Item_No,Variant_Code,Location_Code,Ending_Date,Remaining_Quantity,Due_Date",5000,True,
5001,"cc_item_extra_info","AGRItems",0,"cus","cc_item_extra_info",,5001,True,
5002,"CustomersExtraInfo","AGRCustomer",0,"cus","customer_extra_info","?$select=No,GlobalDimension1Code",5002,True,
5003,"CustomersGroup","AGRDimensionValueList",0,"cus","customer_group","?$select=Dimension_Code,Code,Name",5003,True,
