id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,upsert_key
1,"INVENTTABLE","INVENTTABLE",0,"ax_cus","INVENTTABLE",1,True,,,,,,,
2,"Vendors","VENDTABLE",0,"ax_cus","VENDTABLE",2,True,,,,,,,
5,"INVENTSUM","INVENTSUM",0,"ax_cus","INVENTSUM",5,True,,,,,,,
6,"ItemGroups","INVENTDIM",0,"ax_cus","INVENTDIM",6,True,,,,,,,
8,"INVENTTABLEMODULE","INVENTTABLEMODULE",0,"ax_cus","INVENTTABLEMODULE",8,True,,,,,,,
9,"PurchaseOrderLines","PURCHLINE",7,"ax_cus","PURCHLINE",9,True,,,,,"DELIVERYDATE > (GETDATE() - 20)",,
10,"ECORESPRODUCT","ECORESPRODUCT",0,"ax_cus","ECORESPRODUCT",10,True,,,,,,,
14,"Transations","INVENTTRANS",7,"ax","INVENTTRANS",14,True,"SELECT @pre_sql = 'DECLARE @max_entry_no DATE = '''+ ISNULL((SELECT MAX(convert(varchar, dateadd(day,-5,DATEPHYSICAL), 126)) FROM [ax].[INVENTTRANS] where CAST([DATEPHYSICAL] as DATE) < GETDATE()),CONVERT(VARCHAR(10), DATEADD(YEAR, -3, GETDATE()), 120))+''''",,,,"[DATEPHYSICAL] >= @max_entry_no OR ([DATEPHYSICAL] = '1900-01-01' and [DATEEXPECTED] >= @max_entry_no)",,
15,"InvTransOrigin","INVENTTRANSORIGIN",7,"ax","INVENTTRANSORIGIN",15,True,"SELECT @pre_sql = 'DECLARE @max_entry_no DATE = '''+ ISNULL((SELECT MAX(convert(varchar, dateadd(day,-5,DATEPHYSICAL), 126)) FROM [ax].[INVENTTRANS] where CAST([DATEPHYSICAL] as DATE) < GETDATE()),CONVERT(VARCHAR(10), DATEADD(YEAR, -3, GETDATE()), 120))+''''",,"ito.REFERENCECATEGORY, ito.PARTITION, ito.RECID, ito.DATAAREAID","dbo.INVENTTRANSORIGIN ito INNER JOIN dbo.INVENTTRANS it ON it.INVENTTRANSORIGIN = ito.RECID AND it.PARTITION = ito.PARTITION AND it.DATAAREAID = ito.DATAAREAID AND (it.[DATEPHYSICAL] >= @max_entry_no OR (it.[DATEPHYSICAL] = '1900-01-01' AND it.[DATEEXPECTED] >= @max_entry_no))",,,
23,"ReqItemTable","ReqItemTable",0,"ax_cus","ReqItemTable",23,True,,,,,,,
24,"RETAILASSORTMENTTABLE","RETAILASSORTMENTTABLE",0,"ax_cus","RETAILASSORTMENTTABLE",24,True,,,,,,,
25,"RETAILASSORTMENTPRODUCTLINE","RETAILASSORTMENTPRODUCTLINE",0,"ax_cus","RETAILASSORTMENTPRODUCTLINE",25,True,,,,,,,
26,"RETAILGROUPMEMBERLINE","RETAILGROUPMEMBERLINE",0,"ax_cus","RETAILGROUPMEMBERLINE",26,True,,,,,,,
27,"INVENTDIMCOMBINATION","INVENTDIMCOMBINATION",0,"ax_cus","INVENTDIMCOMBINATION",27,True,,,,,,,
28,"RETAILASSORTMENTLOOKUP","RETAILASSORTMENTLOOKUP",0,"ax_cus","RETAILASSORTMENTLOOKUP",28,True,,,,,,,
29,"ECORESPRODUCTCATEGORY","ECORESPRODUCTCATEGORY",0,"ax_cus","ECORESPRODUCTCATEGORY",29,True,,,,,,,
30,"INVENTMODELGROUPITEM","INVENTMODELGROUPITEM",0,"ax_cus","INVENTMODELGROUPITEM",30,True,,,,,,,
31,"ECORESCATEGORY","ECORESCATEGORY",0,"ax_cus","ECORESCATEGORY",31,True,,,,,,,
32,"ECORESCATEGORYHIERARCHY","ECORESCATEGORYHIERARCHY",0,"ax_cus","ECORESCATEGORYHIERARCHY",32,True,,,,,,,
33,"ECORESCATEGORYHIERARCHYROLE","ECORESCATEGORYHIERARCHYROLE",0,"ax_cus","ECORESCATEGORYHIERARCHYROLE",33,True,,,,,,,
34,"UNITOFMEASURE","UNITOFMEASURE",0,"ax_cus","UNITOFMEASURE",34,True,,,,,,,
35,"UNITOFMEASURECONVERSION","UNITOFMEASURECONVERSION",0,"ax_cus","UNITOFMEASURECONVERSION",35,True,,,,,,,
36,"PURCHTABLE","PURCHTABLE",0,"ax_cus","PURCHTABLE",36,True,,,,,,,
