id,step_name,endpoint,TablePostfix,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
13,"PurchRcptHeader","Purch_ Rcpt_ Header",,0,"bc_sql","PurchRcptHeader",13,False,,,,,,
14,"PurchRcptLine","Purch_ Rcpt_ Line",,0,"bc_sql","PurchRcptLine",14,False,,,,,,
17,"AssemblyBOMComponent","BOM Component",,0,"bc_sql","BOMComponent",17,False,,,,,,
18,"ProductionBOMHeader","Production BOM Header",,0,"bc_sql","ProductionBOMHeader",18,False,,,,,,
19,"ProductionBOMLine","Production BOM Line",,0,"bc_sql","ProductionBOMLine",19,False,,,,,,
50000,"Item_LSC","Item","5ecfc871-5d82-43f1-9c54-59685e82318d",0,"bc_sql_cus","Item_LSC",50000,True,,,,,,
50001,"LSCBuyerGroup","LSC Buyer Group","5ecfc871-5d82-43f1-9c54-59685e82318d",0,"bc_sql_cus","LSCBuyerGroup",50001,True,,,,,,
50002,"Vendor_LSC","Vendor","5ecfc871-5d82-43f1-9c54-59685e82318d",0,"bc_sql_cus","Vendor_LSC",50002,True,,,,,,
50003,"LSCDivision","LSC Division","5ecfc871-5d82-43f1-9c54-59685e82318d",0,"bc_sql_cus","LSCDivision",50003,True,,,,,,
50004,"LSCRetailProductGroup","LSC Retail Product Group","5ecfc871-5d82-43f1-9c54-59685e82318d",0,"bc_sql_cus","LSCRetailProductGroup",50004,True,,,,,,
50005,"OCAGRSKU","OC AGR SKU","d1b910c7-2b4f-44fb-9b77-c957f8358e8d",0,"bc_sql_cus","OCAGRSKU",50005,True,,,,,,
50006,"Purchasing","Purchasing",,0,"bc_sql_cus","Purchasing",50006,True,,,,,,
50007,"ItemExtraInfo","Item",,0,"bc_sql_cus","ItemExtraInfo",50007,True,,,,,,
