id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,database_name
1,"arcus","arcus",0,"cus","arcus",1,True,,,,,,,"STODAT"
2,"icloc","icloc",0,"cus","icloc",1,True,,,,,,,"STODAT"
3,"oeordh","oeordh",0,"cus","oeordh",1,True,,,,,,,"STODAT"
4,"oeordd","oeordd",0,"cus","oeordd",1,True,,,,,,,"STODAT"
5,"oeinvh","oeinvh",0,"cus","oeinvh",1,True,,,,,,,"STODAT"
6,"oeinvd","oeinvd",0,"cus","oeinvd",1,True,,,,,,,"STODAT"
7,"midloc","midloc",0,"cus","midloc",1,True,,,,,,,"MISTODAT"
8,"mibomd","mibomd",0,"cus","mibomd",1,True,,,,,,,"MISTODAT"
9,"milogh","milogh",0,"cus","milogh",1,True,,,,,,,"MISTODAT"
10,"miiloc","miiloc",0,"cus","miiloc",1,True,,,,,,,"MISTODAT"
11,"misupl","misupl",0,"cus","misupl",1,True,,,,,,,"MISTODAT"
12,"miitem","miitem",0,"cus","miitem",1,True,,,,,,,"MISTODAT"
13,"icitem","icitem",0,"cus","icitem",1,True,,,,,,,"STODAT"
14,"mipod","mipod",0,"cus","mipod",1,True,,,,,,,"MISTODAT"
15,"mipoh","mipoh",0,"cus","mipoh",1,True,,,,,,,"MISTODAT"
16,"miqsup","miqsup",0,"cus","miqsup",1,True,,,,,,,"MISTODAT"
