id,step_name,endpoint,task_type,source_schema,source_table,target_schema,target_table,endpoint_filter,priority,is_active,post_sql,where_sql,collectionReference,Key
1,"Items","GetItems",0,"","","cus","ITEM",,1,True,,,"Item","NO"
2,"Location","GetLocation",0,"","","cus","LOCATION",,2,True,,,"Location","NO"
3,"ItemLocation","GetItemLocation",0,"","","cus","ITEM_LOCATION",,3,False,,,"ItemLocation","ITEM_NO"
4,"SalesHistory","GetSalesOrderLines",0,"","","cus","OPEN_SALES_ORDER",,4,True,,,"SalesOrderlines","SALES_ORDER_NO"
5,"StockHistory","GetStockHistory?TranNum={offset}",7,"","","cus","STOCK_HISTORY",,5,True,,,"StockHistory","TRANSACTION_ID"
6,"StockLevel","GetStockLevel",0,"","","cus","STOCK_LEVEL",,6,True,,,"StockLevel","ITEM_NO"
7,"BOMConsumptionHistory","GetBOMConsumptionHistory?TranNum={offset}",7,"","","cus","BOM_CONSUMPTION_HISTORY",,7,True,,,"BOMConsumptionHistory","TRANSACTION_ID"
8,"BOMComponent","GetBOMComponent",0,"","","cus","BOM_COMPONENT",,8,True,,,"BOMComponent","ITEM_NO"
9,"Customer","GetCustomer",0,"","","cus","CUSTOMER",,9,True,,,"Customer","NO"
10,"UndeliveredTransferOrder","GetUndeliveredTransferOrder",0,"","","cus","UNDELIVERED_TRANSFER_ORDER",,10,False,,,"UndeliveredTransferOrder","TRANSFER_ORDER_NO"
11,"ItemGroup","GetItemGroup",0,"","","cus","ITEM_GROUP",,11,True,,,"ItemGroup","NO"
12,"PurchaseOrderRoute","GetPurchaseOrderRoute",0,"","","cus","PURCHASE_ORDER_ROUTE",,12,True,,,"PurchaseOrderRoute","ITEM_NO"
13,"Vendor","GetVendor",0,"","","cus","VENDOR",,13,True,,,"Vendor","NO"
14,"UndeliveredPurchaseOrder","GetUndeliveredPurchaseOrder",0,"","","cus","UNDELIVERED_PURCHASE_ORDER",,14,True,,,"UndeliveredPurchaseOrder","PURCHASE_ORDER_NO"
15,"SalesHistory","GetSalesHistory?TranNum={offset}",7,"","","cus","SALES_HISTORY",,15,True,,,"SalesHistory","TRANSACTION_ID"
