id,step_name,endpoint,endpoint_schema,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql,columns_to_merge,dataareaid
1,"Items","INVENTTABLE",,0,"ax_cus","INVENTTABLE",1,True,,,,,,,,
2,"Vendors","VENDTABLE",,0,"ax_cus","VENDTABLE",2,True,,,,,,,,
6,"ItemGroups","INVENTDIM",,0,"ax_cus","INVENTDIM",6,True,,,,,,,,
7,"Locations","INVENTLOCATION",,0,"ax_cus","INVENTLOCATION",7,True,,,,,,,,
9,"PurchaseOrderLines","PURCHLINE",,0,"ax_cus","PURCHLINE",9,True,,,,,,,,
10,"ECoresProduct","ECORESPRODUCT",,0,"ax_cus","ECORESPRODUCT",10,True,,,,,,,,
11,"InventItemPuchSetup","INVENTITEMPURCHSETUP",,0,"ax_cus","INVENTITEMPURCHSETUP",11,True,,,,,,,,
14,"Transations","INVENTTRANS",,0,"ax_cus","INVENTTRANS",14,True,,,,,,,,
15,"InvTransOrigin","INVENTTRANSORIGIN",,0,"ax_cus","INVENTTRANSORIGIN",15,True,,,,,,,,
22,"InventItemInventSetup","INVENTITEMINVENTSETUP",,0,"ax_cus","INVENTITEMINVENTSETUP",22,True,,,,,,,,
23,"ReqItemTable","ReqItemTable",,0,"ax_cus","ReqItemTable",23,True,,,,,,,,
24,"INVENTBUYERGROUP","INVENTBUYERGROUP",,0,"ax_cus","INVENTBUYERGROUP",24,True,,,,,,,,
25,"ECORESPRODUCTCATEGORY","ECORESPRODUCTCATEGORY",,0,"ax_cus","ECORESPRODUCTCATEGORY",25,True,,,,,,,,
26,"ECORESCATEGORY","ECORESCATEGORY",,0,"ax_cus","ECORESCATEGORY",26,True,,,,,,,,
27,"PRICEDISCTABLE","PRICEDISCTABLE",,0,"ax_cus","PRICEDISCTABLE",27,True,,,,,,,,
28,"INVENTBATCH","INVENTBATCH",,0,"ax_cus","INVENTBATCH",28,True,,,,,,,,
29,"ECORESCATEGORYHIERARCHYROLE","ECORESCATEGORYHIERARCHYROLE",,0,"ax_cus","ECORESCATEGORYHIERARCHYROLE",29,True,,,,,,,,
30,"ECORESCATEGORYHIERARCHY","ECORESCATEGORYHIERARCHY",,0,"ax_cus","ECORESCATEGORYHIERARCHY",30,True,,,,,,,,
31,"WHSINVENTSTATUS","WHSINVENTSTATUS",,0,"ax_cus","WHSINVENTSTATUS",31,True,,,,,,,,
32,"SALESTABLE","SALESTABLE",,0,"ax_cus","SALESTABLE",32,True,,,,,,,,
33,"SALESLINE","SALESLINE",,0,"ax_cus","SALESLINE",33,True,,,,,,,,
34,"WMSLOCATION","WMSLOCATION",,0,"ax_cus","WMSLOCATION",34,True,,,,,,,,
35,"PurchTable","PurchTable",,0,"ax_cus","PurchTable",35,True,,,,,,,,
36,"UNITOFMEASURE","UNITOFMEASURE",,0,"ax_cus","UNITOFMEASURE",36,True,,,,,,,,
37,"UNITOFMEASURECONVERSION","UNITOFMEASURECONVERSION",,0,"ax_cus","UNITOFMEASURECONVERSION",37,True,,,,,,,,
