id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
12,"ItemVariant","Item Variant",0,"bc_sql","ItemVariant",12,False,,,,,,
22,"ProductionOrder","Production Order",0,"bc_sql","ProductionOrder",22,True,,,,,,
23,"ProductionOrderLine","Prod_ Order Line",0,"bc_sql_cus","ProductionOrderLine",23,True,,,,,,
24,"ProdOrderComponent","Prod_ Order Component",0,"bc_sql","ProdOrderComponent",24,True,,,,,,
25,"AssemblyHeader","Assembly Header",0,"bc_sql_cus","AssemblyHeader",25,True,,,,,,
26,"AssemblyLine","Assembly Line",0,"bc_sql","AssemblyLine",26,True,,,,,,
5000,"Routing Line","Routing Line",0,"bc_sql_cus","RoutingLine",5000,True,,,,,,
5001,"ItemExtraInfo","Item",0,"bc_sql_cus","ItemExtraInfo",5001,True,,,,,,
5002,"ItemVendor","Item Vendor",0,"bc_sql_cus","ItemVendor",5002,True,,,,,,
5003,"Commercial Status Code","Item",0,"bc_sql_cus","CC_Commercial_Status_Code",5003,True,,,"[No_],[ACO Finish$a3d760bd-9288-4964-acc7-2649e678307d],[ACO Commercial Status$a3d760bd-9288-4964-acc7-2649e678307d]","dbo.[VadoMain$Item$437dbf0e-84ff-417a-965d-ed2bb9650972$ext]",,
5004,"Item Publication Code","ACO Item Publication",0,"bc_sql_cus","CC_Item_Publication",5004,True,,,"[Item No_],[Publication No_],[Status],[Discontinued Date]","dbo.[VadoMain$ACO Item Publication$a3d760bd-9288-4964-acc7-2649e678307d]",,
5005,"Manufacturing Policy","Item",0,"bc_sql_cus","CC_Manifacturing_Policy",5004,True,,,"No_, [Manufacturing Policy]",,,
