id,step_name,endpoint,task_type,db_schema,db_table,key_columns,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
1,"ItemInventory","ItemInventory",0,"cus","ItemInventory",,1,True,,,,,,
2,"UnitOfMeasureSet","UnitOfMeasureSet",0,"cus","UnitOfMeasureSet",,1,True,,,,,,
3,"UnitOfMeasureSetDefaultUnit","UnitOfMeasureSetDefaultUnit",0,"cus","UnitOfMeasureSetDefaultUnit",,1,True,,,,,,
4,"UnitOfMeasureSetRelatedUnit","UnitOfMeasureSetRelatedUnit",0,"cus","UnitOfMeasureSetRelatedUnit",,1,True,,,,,,
5,"InvoiceLine","InvoiceLine",7,"cus","InvoiceLine","TxnNumber,InvoiceLineSeqNo",1,True,,,,,,
6,"InventoryAdjustmentLine","InventoryAdjustmentLine",7,"cus","InventoryAdjustmentLine","TxnNumber,InventoryAdjustmentSeqNo",1,True,,,,,,
7,"CheckItemLine","CheckItemLine",7,"cus","CheckItemLine","TxnNumber,ItemLineSeqNo",1,True,,,,,,
8,"BillItemLine","BillItemLine",7,"cus","BillItemLine","TxnNumber,ItemLineSeqNo",1,True,,,,,,
9,"ItemReceiptItemLine","ItemReceiptItemLine",7,"cus","ItemReceiptItemLine","TxnNumber,ItemLineSeqNo",1,True,,,,,,
10,"TransferInventoryLine","TransferInventoryLine",7,"cus","TransferInventoryLine","TxnNumber,TransferInventorySeqNo",1,True,,,,,,
11,"VendorCreditItemLine","VendorCreditItemLine",7,"cus","VendorCreditItemLine","TxnNumber,ItemLineSeqNo",1,True,,,,,,
12,"CreditMemoLine","CreditMemoLine",7,"cus","CreditMemoLine","TxnNumber,CreditMemoLineSeqNo",1,True,,,,,,
13,"BuildAssemblyComponentItemLine","BuildAssemblyComponentItemLine",7,"cus","BuildAssemblyComponentItemLine","TxnNumber,ComponentItemLineSeqNo",1,True,,,,,,
14,"Vendor","Vendor",0,"cus","Vendor",,1,True,,,,,,
15,"Customer","Customer",0,"cus","Customer",,1,True,,,,,,
16,"SalesOrderLine","SalesOrderLine",0,"cus","SalesOrderLine",,1,True,,,,,"IsManuallyClosed = 0 and IsFullyInvoiced = 0",
17,"PurchaseOrderLine","PurchaseOrderLine",0,"cus","PurchaseOrderLine",,1,True,,,,,"IsManuallyClosed = 0 and IsFullyReceived = 0 ",
18,"InventorySite","InventorySite",0,"cus","InventorySite",,1,True,,,,,,
50001,"CustomItemInventory","ItemInventory",0,"cus","CustomItemInventory",,1,True,,,"ListID,Name,CustomFieldLeadTimeDays,CustomFieldCatalogItem,TimeCreated,TimeModified",,,
50002,"CustomVendor","Vendor",0,"cus","CustomVendor",,1,True,,,"ListID,Name,CustomFieldStandardLeadtimeDays,TimeCreated,TimeModified",,,
