id,step_name,endpoint,task_type,db_schema,db_table,priority,is_active,pre_sql_exec,pre_sql,select_sql,from_sql,where_sql,post_sql
1,"Items","INVENTTABLE",0,"cus","INVENTTABLE",1,True,,,,,"[DATAAREAID]='rar'",
2,"Vendors","VENDTABLE",0,"cus","VENDTABLE",2,True,,,,,"[DATAAREAID]='rar'",
3,"BOMComponent","BOM",0,"cus","BOM",3,True,,,,,"[DATAAREAID]='rar'",
4,"BOMVersion","BOMVERSION",0,"cus","BOMVERSION",4,True,,,,,"[DATAAREAID]='rar'",
5,"StockLevel","INVENTSUM",0,"cus","INVENTSUM",5,True,,,,,"[DATAAREAID]='rar'",
6,"ItemGroups","INVENTDIM",0,"cus","INVENTDIM",6,True,,,,,"[DATAAREAID]='rar'",
7,"Locations","INVENTLOCATION",0,"cus","INVENTLOCATION",7,True,,,,,"[DATAAREAID]='rar'",
8,"InventTableModule","INVENTTABLEMODULE",0,"cus","INVENTTABLEMODULE",8,True,,,,,"[DATAAREAID]='rar'",
9,"PurchaseOrderLines","PURCHLINE",0,"cus","PURCHLINE",9,True,,,,,,
10,"ECoresProduct","ECORESPRODUCT",0,"cus","ECORESPRODUCT",10,True,,,,,,
11,"InventItemPuchSetup","INVENTITEMPURCHSETUP",0,"cus","INVENTITEMPURCHSETUP",11,True,,,,,"[DATAAREAID]='rar'",
12,"ECoresProductTranslation","ECORESPRODUCTTRANSLATION",0,"cus","ECORESPRODUCTTRANSLATION",12,True,,,,,,
13,"CustVendExternalItem","CUSTVENDEXTERNALITEM",0,"cus","CUSTVENDEXTERNALITEM",13,True,,,,,"[DATAAREAID]='rar'",
14,"Transations","INVENTTRANS",7,"cus","INVENTTRANS",14,True,"SELECT @pre_sql = 'DECLARE @max_entry_no DATE = '''+ ISNULL((SELECT MAX([DATEPHYSICAL]) FROM [cus].[INVENTTRANS]),'1900-01-01')+''', @max_modified_date nvarchar(max) = '''+ ISNULL((SELECT MAX(convert(varchar, MODIFIEDDATETIME, 126)) FROM [cus].[INVENTTRANS]),'1900-01-01')+''''",,,,"[DATEPHYSICAL] > @max_entry_no OR ([DATEPHYSICAL] = @max_entry_no and [MODIFIEDDATETIME] > @max_modified_date) AND [DATAAREAID]='rar'",
16,"InvTransOrigin","INVENTTRANSORIGIN",0,"cus","INVENTTRANSORIGIN",16,True,,,,,,
17,"InventTransferTable","INVENTTRANSFERTABLE",0,"cus","INVENTTRANSFERTABLE",17,True,,,,,"[DATAAREAID]='rar'",
18,"InventTransferLine","INVENTTRANSFERLINE",0,"cus","INVENTTRANSFERLINE",18,True,,,,,"[DATAAREAID]='rar'",
19,"InventBuyerGroup","INVENTBUYERGROUP",0,"cus","INVENTBUYERGROUP",19,True,,,,,"[DATAAREAID]='rar'",
20,"DirPartyTable","DIRPARTYTABLE",0,"cus","DIRPARTYTABLE",20,True,,,,,,
21,"ProdGroup","PRODGROUP",0,"cus","PRODGROUP",21,False,,,,,"[DATAAREAID]='rar'",
22,"Customer","CUSTOMERVIEW",0,"cus","CUSTOMERVIEW",22,True,,,,,"[DATAAREAID]='rar'",
23,"IventItemGroupItem","INVENTITEMGROUPITEM",0,"cus","INVENTITEMGROUPITEM",23,True,,,,,"[ITEMDATAAREAID]='rar'",
24,"IventItemGroup","INVENTITEMGROUP",0,"cus","INVENTITEMGROUP",24,True,,,,,"[DATAAREAID]='rar'",
25,"InventItemInventSetup","INVENTITEMINVENTSETUP",0,"cus","INVENTITEMINVENTSETUP",25,True,,,,,"[DATAAREAID]='rar'",
26,"ReqItemTable","ReqItemTable",0,"cus","ReqItemTable",26,True,,,,,"[DATAAREAID]='rar'",
