id,step_name,endpoint,service_method,service_name,task_type,return_type,db_schema,db_table,endpoint_filter,max_page_size,period_increment,priority,is_active,authentication_type,external_process,external_process_argument,base_type_procedure,injection_property_name,return_type_assembly
1,"Items","AGRItem",,,0,"ErpConnector.Nav.DTO.AGRItem","cus","item","?$select=No,VendorNo,VendorItemNo,Description,Description2,Type,ItemCategoryCode,PurchasingBlocked,SalesBlocked,Blocked,GrossWeight,UnitVolume,UnitCost,UnitPrice,OrderMultiple,MaximumInventory,BaseUnitofMeasure,MinimumOrderQuantity,PriceIncludesVAT,ProductionBOMNo,LastDirectCost,LeadTimeCalculation,ReplenishmentSystem,PurchUnitofMeasure,ReorderingPolicy,SafetyStockQuantity,ReorderPoint",100,,2,True,6,,,,,"ErpConnector.Nav"
2,"ItemCategory","AGRItemCategory",,,0,"ErpConnector.Nav.DTO.AGRItemCategory","cus","item_category",,,,3,True,6,,,,,"ErpConnector.Nav"
3,"ItemLedgerEntry","AGRItemLedgerEntry",,,7,"ErpConnector.Nav.DTO.AGRItemLedgerEntry","cus","item_ledger_entry","?$select=EntryNo,ItemNo,PostingDate,EntryType,LocationCode,Quantity,RemainingQuantity,InvoicedQuantity,QtyperUnitofMeasure,UnitofMeasureCode,VariantCode,SourceNo,DocumentNo,ExpirationDate",,,1,True,6,,,,,"ErpConnector.Nav"
4,"ItemVendor","AGRItemVendor",,,0,"ErpConnector.Nav.DTO.AGRItemVendor","cus","item_vendor",,,,4,True,6,,,,,"ErpConnector.Nav"
5,"Locations","AGRLocation",,,0,"ErpConnector.Nav.DTO.AGRLocation","cus","location","?$select=Code,Name,City,PostCode,County",,,5,True,6,,,,,"ErpConnector.Nav"
6,"PurchaseLine","AGRPurchaseLine",,,0,"ErpConnector.Nav.DTO.AGRPurchaseLine","cus","purchase_line","?$select=DocumentType,DocumentNo,LineNo,BuyfromVendorNo,Type,No,LocationCode,ExpectedReceiptDate,Description,Description2,UnitofMeasureCode,Quantity,OutstandingQuantity,QtytoInvoice,QuantityReceived,QuantityBase,OutstandingQtyBase,VariantCode,DropShipment",,,6,True,6,,,,,"ErpConnector.Nav"
7,"SKU","AGRStockKeepingUnit",,,0,"ErpConnector.Nav.DTO.AGRStockKeepingUnit","cus","stock_keeping_unit","?$select=ItemNo,LocationCode,UnitCost,ReplenishmentSystem,TransferfromCode,VariantCode,LeadTimeCalculation,MinimumOrderQuantity,OrderMultiple,ReorderPoint,MaximumInventory,VendorNo,SafetyStockQuantity",,,7,True,6,,,,,"ErpConnector.Nav"
8,"TransferLine","AGRTransferLine",,,0,"ErpConnector.Nav.DTO.AGRTransferLine","cus","transfer_line","?$select=DocumentNo,LineNo,ItemNo,Quantity,UnitofMeasureCode,QuantityReceived,Status,QuantityBase,OutstandingQtyBase,OutstandingQuantity,QtyReceivedBase,QtyperUnitofMeasure,UnitofMeasure,TransferfromCode,TransfertoCode,ShipmentDate,ReceiptDate,VariantCode",,,8,True,6,,,,,"ErpConnector.Nav"
9,"Vendors","AGRVendor",,,0,"ErpConnector.Nav.DTO.AGRVendor","cus","vendor","?$select=No,Name,PurchaserCode,LeadTimeCalculation,City,Blocked",,,9,True,6,,,,,"ErpConnector.Nav"
10,"BOMComponent","AGRBOMComponent",,,0,"ErpConnector.Nav.DTO.AGRBOMComponent","cus","bom_component",,,,10,True,6,,,,,"ErpConnector.Nav"
11,"ItemUnitOfMeasure","AGRItemUOM",,,0,"ErpConnector.Nav.DTO.AGRItemUOM","cus","item_unit_of_measure",,,,11,True,6,,,,,"ErpConnector.Nav"
